mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,heads,max_len,sender_cell,agent
train,0,0.1,,,10,100,20,40,10,4,4,gru,dual
test,0,0.1,,,10,100,20,40,10,4,4,gru,dual
train,1,0.22799032926559448,1.9307115077972412,4.999291896820068,10,100,20,40,10,4,4,gru,dual
test,1,0.3009999394416809,1.3802478313446045,5.0,10,100,20,40,10,4,4,gru,dual
train,2,0.3794977068901062,1.1648651361465454,4.999767780303955,10,100,20,40,10,4,4,gru,dual
test,2,0.39900004863739014,1.04183828830719,5.0,10,100,20,40,10,4,4,gru,dual
train,3,0.40149998664855957,1.073852777481079,4.999998092651367,10,100,20,40,10,4,4,gru,dual
test,3,0.4320000410079956,0.9895840883255005,5.0,10,100,20,40,10,4,4,gru,dual
train,4,0.4087499976158142,0.994331955909729,5.0,10,100,20,40,10,4,4,gru,dual
test,4,0.4490000307559967,0.9375095367431641,5.0,10,100,20,40,10,4,4,gru,dual
train,5,0.4629993140697479,0.9569116830825806,4.999993801116943,10,100,20,40,10,4,4,gru,dual
test,5,0.46399998664855957,0.9405673146247864,5.0,10,100,20,40,10,4,4,gru,dual
train,6,0.4612499475479126,0.9413228034973145,4.999999046325684,10,100,20,40,10,4,4,gru,dual
test,6,0.45900002121925354,0.9242544174194336,5.0,10,100,20,40,10,4,4,gru,dual
train,7,0.4747498631477356,0.9255094528198242,4.999998092651367,10,100,20,40,10,4,4,gru,dual
test,7,0.4400000274181366,1.0138440132141113,5.0,10,100,20,40,10,4,4,gru,dual
train,8,0.5079999566078186,0.9046546220779419,4.999999046325684,10,100,20,40,10,4,4,gru,dual
test,8,0.5839999318122864,0.8357657194137573,5.0,10,100,20,40,10,4,4,gru,dual
train,9,0.5787500143051147,0.8159196972846985,5.0,10,100,20,40,10,4,4,gru,dual
test,9,0.5210000276565552,0.9106748700141907,5.0,10,100,20,40,10,4,4,gru,dual
train,10,0.593999981880188,0.7668546438217163,5.0,10,100,20,40,10,4,4,gru,dual
test,10,0.5869999527931213,0.8452407121658325,5.0,10,100,20,40,10,4,4,gru,dual
train,11,0.5962499976158142,0.7738783955574036,5.0,10,100,20,40,10,4,4,gru,dual
test,11,0.5730000138282776,0.8304882049560547,5.0,10,100,20,40,10,4,4,gru,dual
train,12,0.6212499141693115,0.7312976121902466,5.0,10,100,20,40,10,4,4,gru,dual
test,12,0.4920000433921814,1.0079950094223022,5.0,10,100,20,40,10,4,4,gru,dual
train,13,0.6192498803138733,0.7841862440109253,4.999997615814209,10,100,20,40,10,4,4,gru,dual
test,13,0.6190000176429749,0.6809202432632446,5.0,10,100,20,40,10,4,4,gru,dual
train,14,0.6752499341964722,0.6321361660957336,4.999999523162842,10,100,20,40,10,4,4,gru,dual
test,14,0.6759999990463257,0.6224557757377625,5.0,10,100,20,40,10,4,4,gru,dual
train,15,0.6054999828338623,0.832791805267334,5.0,10,100,20,40,10,4,4,gru,dual
test,15,0.5979999899864197,0.8519673347473145,5.0,10,100,20,40,10,4,4,gru,dual
train,16,0.6317499279975891,0.7173038721084595,5.0,10,100,20,40,10,4,4,gru,dual
test,16,0.5979999899864197,0.7203549742698669,5.0,10,100,20,40,10,4,4,gru,dual
train,17,0.5797500014305115,0.7927619814872742,5.0,10,100,20,40,10,4,4,gru,dual
test,17,0.5839999914169312,0.7580431699752808,5.0,10,100,20,40,10,4,4,gru,dual
train,18,0.6244999170303345,0.7021573781967163,5.0,10,100,20,40,10,4,4,gru,dual
test,18,0.5819999575614929,0.7326493859291077,5.0,10,100,20,40,10,4,4,gru,dual
train,19,0.6367500424385071,0.6997311115264893,4.999998092651367,10,100,20,40,10,4,4,gru,dual
test,19,0.5609999299049377,0.8348973989486694,5.0,10,100,20,40,10,4,4,gru,dual
train,20,0.6647498607635498,0.6428574323654175,4.999999046325684,10,100,20,40,10,4,4,gru,dual
test,20,0.6419999599456787,0.6400880813598633,5.0,10,100,20,40,10,4,4,gru,dual
train,21,0.7079997658729553,0.5698382258415222,4.999996185302734,10,100,20,40,10,4,4,gru,dual
test,21,0.6499999165534973,0.6229035258293152,5.0,10,100,20,40,10,4,4,gru,dual
train,22,0.6972499489784241,0.5898771286010742,5.0,10,100,20,40,10,4,4,gru,dual
test,22,0.6269999742507935,0.6559260487556458,5.0,10,100,20,40,10,4,4,gru,dual
train,23,0.7122499346733093,0.5619400143623352,4.999999523162842,10,100,20,40,10,4,4,gru,dual
test,23,0.699999988079071,0.6562763452529907,5.0,10,100,20,40,10,4,4,gru,dual
train,24,0.7017499208450317,0.5711650848388672,4.999999046325684,10,100,20,40,10,4,4,gru,dual
test,24,0.7149999737739563,0.5640121698379517,5.0,10,100,20,40,10,4,4,gru,dual
train,25,0.7347500324249268,0.5246888399124146,5.0,10,100,20,40,10,4,4,gru,dual
test,25,0.718999981880188,0.5435806512832642,5.0,10,100,20,40,10,4,4,gru,dual
train,26,0.7369999885559082,0.5252653360366821,5.0,10,100,20,40,10,4,4,gru,dual
test,26,0.7080000042915344,0.5422327518463135,5.0,10,100,20,40,10,4,4,gru,dual
train,27,0.7214999198913574,0.5528666377067566,5.0,10,100,20,40,10,4,4,gru,dual
test,27,0.7270001173019409,0.508985161781311,5.0,10,100,20,40,10,4,4,gru,dual
train,28,0.7672500014305115,0.47314175963401794,5.0,10,100,20,40,10,4,4,gru,dual
