mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,40,100,40,4,gru
test,0,0.25,,,4,100,40,100,40,4,gru
train,1,0.35000336170196533,1.1278718709945679,4.999996185302734,4,100,40,100,40,4,gru
test,1,0.4000000059604645,1.184801459312439,5.0,4,100,40,100,40,4,gru
train,2,0.38749998807907104,0.2929428815841675,5.0,4,100,40,100,40,4,gru
test,2,0.3499999940395355,1.2695529460906982,5.0,4,100,40,100,40,4,gru
train,3,0.5249999761581421,0.11637286841869354,5.0,4,100,40,100,40,4,gru
test,3,0.550000011920929,0.6705306172370911,5.0,4,100,40,100,40,4,gru
train,4,0.5375000238418579,0.08728698641061783,5.0,4,100,40,100,40,4,gru
test,4,0.5,0.6513427495956421,5.0,4,100,40,100,40,4,gru
train,5,0.5874999761581421,0.07305257767438889,5.0,4,100,40,100,40,4,gru
test,5,0.44999998807907104,0.7682145833969116,5.0,4,100,40,100,40,4,gru
train,6,0.5625,0.07231658697128296,5.0,4,100,40,100,40,4,gru
test,6,0.6499999761581421,0.7392209768295288,5.0,4,100,40,100,40,4,gru
train,7,0.675000011920929,0.06788042187690735,5.0,4,100,40,100,40,4,gru
test,7,0.6000000238418579,0.7034192085266113,5.0,4,100,40,100,40,4,gru
train,8,0.637499988079071,0.07028591632843018,5.0,4,100,40,100,40,4,gru
test,8,0.550000011920929,0.7092782855033875,5.0,4,100,40,100,40,4,gru
train,9,0.6875,0.06648452579975128,5.0,4,100,40,100,40,4,gru
test,9,0.44999998807907104,0.7892631888389587,5.0,4,100,40,100,40,4,gru
train,10,0.6499999761581421,0.06779992580413818,5.0,4,100,40,100,40,4,gru
test,10,0.6499999761581421,0.7579638957977295,5.0,4,100,40,100,40,4,gru
train,11,0.675000011920929,0.0654374286532402,5.0,4,100,40,100,40,4,gru
test,11,0.6000000238418579,0.7353307604789734,5.0,4,100,40,100,40,4,gru
train,12,0.675000011920929,0.06428895890712738,5.0,4,100,40,100,40,4,gru
test,12,0.550000011920929,0.753026008605957,5.0,4,100,40,100,40,4,gru
train,13,0.6625000238418579,0.0637759268283844,5.0,4,100,40,100,40,4,gru
test,13,0.6000000238418579,0.7661700248718262,5.0,4,100,40,100,40,4,gru
train,14,0.6875,0.06334918737411499,5.0,4,100,40,100,40,4,gru
test,14,0.550000011920929,0.7615060210227966,5.0,4,100,40,100,40,4,gru
train,15,0.675000011920929,0.06356298923492432,5.0,4,100,40,100,40,4,gru
test,15,0.5,0.7298070788383484,5.0,4,100,40,100,40,4,gru
train,16,0.6875,0.06233164668083191,5.0,4,100,40,100,40,4,gru
test,16,0.5,0.789284884929657,5.0,4,100,40,100,40,4,gru
train,17,0.6499999761581421,0.06316851079463959,5.0,4,100,40,100,40,4,gru
test,17,0.550000011920929,0.7664071321487427,5.0,4,100,40,100,40,4,gru
train,18,0.675000011920929,0.06488664448261261,5.0,4,100,40,100,40,4,gru
test,18,0.5,0.7433741688728333,5.0,4,100,40,100,40,4,gru
train,19,0.675000011920929,0.06161205843091011,5.0,4,100,40,100,40,4,gru
test,19,0.550000011920929,0.7710151672363281,5.0,4,100,40,100,40,4,gru
train,20,0.637499988079071,0.0643036812543869,5.0,4,100,40,100,40,4,gru
test,20,0.6000000238418579,0.7657741904258728,5.0,4,100,40,100,40,4,gru
train,21,0.6625000238418579,0.06401783227920532,5.0,4,100,40,100,40,4,gru
test,21,0.44999998807907104,0.7304129600524902,5.0,4,100,40,100,40,4,gru
