mode,acc,game_size,max_len,vocab_size,agent,embedding_size,heads,hidden_size,highest_acc
train,0.8612499833106995,10,4,100,dual,10,4,20,0.8612499833106995
test,0.847000002861023,10,4,100,dual,10,4,20,0.8612499833106995
train,0.934749960899353,4,4,100,dual,10,4,20,0.9479999542236328
test,0.9229998588562012,4,4,100,dual,10,4,20,0.9479999542236328
train,0.7580001354217529,22,4,100,dual,10,4,20,0.7644999623298645
test,0.7170000672340393,22,4,100,dual,10,4,20,0.7644999623298645
train,0.8422489762306213,4,4,100,gat,10,4,20,0.8422489762306213
test,0.8420001268386841,4,4,100,gat,10,4,20,0.8422489762306213
train,0.5830000042915344,10,4,100,gat,10,4,20,0.5909999012947083
test,0.5500000715255737,10,4,100,gat,10,4,20,0.5909999012947083
train,0.7515000104904175,22,4,100,transform,10,4,20,0.7555000185966492
test,0.6809999942779541,22,4,100,transform,10,4,20,0.7555000185966492
train,0.4875000119209289,22,4,100,gat,10,4,20,0.4920000731945038
test,0.4729999899864197,22,4,100,gat,10,4,20,0.4920000731945038
train,0.7562500238418579,4,4,100,transform,10,4,20,0.764249861240387
test,0.7540000081062317,4,4,100,transform,10,4,20,0.764249861240387
train,0.8339998722076416,10,4,100,transform,10,4,20,0.8472499847412109
test,0.7980000376701355,10,4,100,transform,10,4,20,0.8472499847412109
