mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
train,0,0.25,,,4,100,60,100,40,4,gru
test,0,0.25,,,4,100,60,100,40,4,gru
train,1,0.2500002682209015,1.6998631954193115,4.9974365234375,4,100,60,100,40,4,gru
test,1,0.30000001192092896,1.6188421249389648,5.0,4,100,60,100,40,4,gru
train,2,0.3125002980232239,0.38449355959892273,4.999983310699463,4,100,60,100,40,4,gru
test,2,0.5,0.710391640663147,5.0,4,100,60,100,40,4,gru
train,3,0.48750004172325134,0.08170752227306366,4.999999046325684,4,100,60,100,40,4,gru
test,3,0.5,0.7197388410568237,5.0,4,100,60,100,40,4,gru
train,4,0.512499988079071,0.06899293512105942,5.0,4,100,60,100,40,4,gru
test,4,0.550000011920929,0.7452179789543152,5.0,4,100,60,100,40,4,gru
train,5,0.550000011920929,0.06683134287595749,5.0,4,100,60,100,40,4,gru
test,5,0.5,0.7710273265838623,5.0,4,100,60,100,40,4,gru
train,6,0.574999988079071,0.06486456841230392,5.0,4,100,60,100,40,4,gru
test,6,0.44999998807907104,0.7652246356010437,5.0,4,100,60,100,40,4,gru
train,7,0.612500011920929,0.06428883969783783,5.0,4,100,60,100,40,4,gru
test,7,0.5,0.7630243301391602,5.0,4,100,60,100,40,4,gru
train,8,0.6499999761581421,0.06368017941713333,5.0,4,100,60,100,40,4,gru
test,8,0.5,0.7718083262443542,5.0,4,100,60,100,40,4,gru
train,9,0.6499999761581421,0.06337694823741913,5.0,4,100,60,100,40,4,gru
test,9,0.5,0.7769752144813538,5.0,4,100,60,100,40,4,gru
train,10,0.6499999761581421,0.06316166371107101,5.0,4,100,60,100,40,4,gru
test,10,0.550000011920929,0.7805114984512329,5.0,4,100,60,100,40,4,gru
train,11,0.637499988079071,0.06291627883911133,5.0,4,100,60,100,40,4,gru
test,11,0.5,0.7776771783828735,5.0,4,100,60,100,40,4,gru
train,12,0.637499988079071,0.06288036704063416,5.0,4,100,60,100,40,4,gru
test,12,0.550000011920929,0.788857102394104,5.0,4,100,60,100,40,4,gru
train,13,0.6625000238418579,0.06242555379867554,5.0,4,100,60,100,40,4,gru
test,13,0.550000011920929,0.7969478368759155,5.0,4,100,60,100,40,4,gru
train,14,0.6625000238418579,0.06193438172340393,5.0,4,100,60,100,40,4,gru
test,14,0.550000011920929,0.7940064072608948,5.0,4,100,60,100,40,4,gru
train,15,0.6875,0.061822932213544846,5.0,4,100,60,100,40,4,gru
test,15,0.550000011920929,0.8059043884277344,5.0,4,100,60,100,40,4,gru
train,16,0.6625000238418579,0.06199564412236214,5.0,4,100,60,100,40,4,gru
test,16,0.550000011920929,0.8055020570755005,5.0,4,100,60,100,40,4,gru
train,17,0.675000011920929,0.061959970742464066,5.0,4,100,60,100,40,4,gru
test,17,0.550000011920929,0.7993097901344299,5.0,4,100,60,100,40,4,gru
train,18,0.675000011920929,0.061775367707014084,5.0,4,100,60,100,40,4,gru
test,18,0.550000011920929,0.8094525337219238,5.0,4,100,60,100,40,4,gru
train,19,0.6625000238418579,0.06143825128674507,5.0,4,100,60,100,40,4,gru
test,19,0.550000011920929,0.8023749589920044,5.0,4,100,60,100,40,4,gru
train,20,0.6875,0.06133560091257095,5.0,4,100,60,100,40,4,gru
test,20,0.6000000238418579,0.795367956161499,5.0,4,100,60,100,40,4,gru
train,21,0.6875,0.06097166985273361,5.0,4,100,60,100,40,4,gru
test,21,0.6000000238418579,0.8051544427871704,5.0,4,100,60,100,40,4,gru
train,22,0.675000011920929,0.060868848115205765,5.0,4,100,60,100,40,4,gru
test,22,0.6000000238418579,0.8075454831123352,5.0,4,100,60,100,40,4,gru
train,23,0.6875,0.06075393408536911,5.0,4,100,60,100,40,4,gru
test,23,0.6499999761581421,0.8104864358901978,5.0,4,100,60,100,40,4,gru
train,24,0.699999988079071,0.06069754436612129,5.0,4,100,60,100,40,4,gru
test,24,0.6499999761581421,0.8129345178604126,5.0,4,100,60,100,40,4,gru
train,25,0.7124999761581421,0.06004701182246208,5.0,4,100,60,100,40,4,gru
test,25,0.6499999761581421,0.8104974627494812,5.0,4,100,60,100,40,4,gru
train,26,0.699999988079071,0.060168106108903885,5.0,4,100,60,100,40,4,gru
test,26,0.6000000238418579,0.808568000793457,5.0,4,100,60,100,40,4,gru
train,27,0.7124999761581421,0.059939444065093994,5.0,4,100,60,100,40,4,gru
test,27,0.550000011920929,0.8005813360214233,5.0,4,100,60,100,40,4,gru
train,28,0.7250000238418579,0.05974472686648369,5.0,4,100,60,100,40,4,gru
test,28,0.550000011920929,0.8002164959907532,5.0,4,100,60,100,40,4,gru
train,29,0.737500011920929,0.059697676450014114,5.0,4,100,60,100,40,4,gru
test,29,0.6000000238418579,0.8102754354476929,5.0,4,100,60,100,40,4,gru
train,30,0.7250000238418579,0.05957287549972534,5.0,4,100,60,100,40,4,gru
test,30,0.6499999761581421,0.8183989524841309,5.0,4,100,60,100,40,4,gru
train,31,0.6875,0.05954964831471443,5.0,4,100,60,100,40,4,gru
test,31,0.6499999761581421,0.8307507634162903,5.0,4,100,60,100,40,4,gru
train,32,0.6875,0.05942286178469658,5.0,4,100,60,100,40,4,gru
test,32,0.6499999761581421,0.832177996635437,5.0,4,100,60,100,40,4,gru
train,33,0.7124999761581421,0.05940460413694382,5.0,4,100,60,100,40,4,gru
test,33,0.550000011920929,0.8074582815170288,5.0,4,100,60,100,40,4,gru
train,34,0.737500011920929,0.058663178235292435,5.0,4,100,60,100,40,4,gru
test,34,0.6000000238418579,0.8151523470878601,5.0,4,100,60,100,40,4,gru
train,35,0.7250000238418579,0.05878625065088272,5.0,4,100,60,100,40,4,gru
test,35,0.6499999761581421,0.8252961039543152,5.0,4,100,60,100,40,4,gru
train,36,0.737500011920929,0.058866579085588455,5.0,4,100,60,100,40,4,gru
test,36,0.6499999761581421,0.8272464871406555,5.0,4,100,60,100,40,4,gru
train,37,0.7124999761581421,0.058583952486515045,5.0,4,100,60,100,40,4,gru
test,37,0.6000000238418579,0.8161286115646362,5.0,4,100,60,100,40,4,gru
train,38,0.737500011920929,0.05849965289235115,5.0,4,100,60,100,40,4,gru
test,38,0.6000000238418579,0.8137210607528687,5.0,4,100,60,100,40,4,gru
train,39,0.737500011920929,0.05822039395570755,5.0,4,100,60,100,40,4,gru
test,39,0.6000000238418579,0.8219457864761353,5.0,4,100,60,100,40,4,gru
train,40,0.737500011920929,0.059494782239198685,5.0,4,100,60,100,40,4,gru
test,40,0.550000011920929,0.8200445175170898,5.0,4,100,60,100,40,4,gru
train,41,0.762499988079071,0.058105312287807465,5.0,4,100,60,100,40,4,gru
test,41,0.6000000238418579,0.8131238222122192,5.0,4,100,60,100,40,4,gru
train,42,0.7124999761581421,0.057967882603406906,5.0,4,100,60,100,40,4,gru
test,42,0.6499999761581421,0.8353816270828247,5.0,4,100,60,100,40,4,gru
train,43,0.699999988079071,0.05845212936401367,5.0,4,100,60,100,40,4,gru
test,43,0.550000011920929,0.832271933555603,5.0,4,100,60,100,40,4,gru
train,44,0.75,0.05734793469309807,5.0,4,100,60,100,40,4,gru
test,44,0.550000011920929,0.8303070068359375,5.0,4,100,60,100,40,4,gru
train,45,0.7250000238418579,0.058491289615631104,5.0,4,100,60,100,40,4,gru
test,45,0.550000011920929,0.8400174975395203,5.0,4,100,60,100,40,4,gru
train,46,0.75,0.05714256688952446,5.0,4,100,60,100,40,4,gru
test,46,0.5,0.846781849861145,5.0,4,100,60,100,40,4,gru
train,47,0.75,0.057391874492168427,5.0,4,100,60,100,40,4,gru
test,47,0.550000011920929,0.8399340510368347,5.0,4,100,60,100,40,4,gru
train,48,0.75,0.057638607919216156,5.0,4,100,60,100,40,4,gru
test,48,0.5,0.8192787170410156,5.0,4,100,60,100,40,4,gru
train,49,0.737500011920929,0.05693291872739792,5.0,4,100,60,100,40,4,gru
test,49,0.5,0.823086142539978,5.0,4,100,60,100,40,4,gru
train,50,0.737500011920929,0.05740148574113846,5.0,4,100,60,100,40,4,gru
test,50,0.5,0.8295284509658813,5.0,4,100,60,100,40,4,gru
train,51,0.75,0.05636797100305557,5.0,4,100,60,100,40,4,gru
test,51,0.550000011920929,0.851617157459259,5.0,4,100,60,100,40,4,gru
train,52,0.699999988079071,0.056664176285266876,5.0,4,100,60,100,40,4,gru
test,52,0.550000011920929,0.8572856187820435,5.0,4,100,60,100,40,4,gru
train,53,0.737500011920929,0.05735524371266365,5.0,4,100,60,100,40,4,gru
test,53,0.550000011920929,0.8365682363510132,5.0,4,100,60,100,40,4,gru
train,54,0.75,0.056534748524427414,5.0,4,100,60,100,40,4,gru
test,54,0.550000011920929,0.8515887260437012,5.0,4,100,60,100,40,4,gru
train,55,0.737500011920929,0.05734089016914368,5.0,4,100,60,100,40,4,gru
test,55,0.5,0.8561275601387024,5.0,4,100,60,100,40,4,gru
train,56,0.7124999761581421,0.05920243263244629,5.0,4,100,60,100,40,4,gru
test,56,0.5,0.8424472808837891,5.0,4,100,60,100,40,4,gru
train,57,0.75,0.05709560588002205,5.0,4,100,60,100,40,4,gru
test,57,0.550000011920929,0.8672006726264954,5.0,4,100,60,100,40,4,gru
train,58,0.6875,0.057737380266189575,5.0,4,100,60,100,40,4,gru
test,58,0.550000011920929,0.8462926149368286,5.0,4,100,60,100,40,4,gru
train,59,0.7250000238418579,0.05693810433149338,5.0,4,100,60,100,40,4,gru
test,59,0.550000011920929,0.848315417766571,5.0,4,100,60,100,40,4,gru
train,60,0.762499988079071,0.05669904500246048,5.0,4,100,60,100,40,4,gru
test,60,0.550000011920929,0.8448979258537292,5.0,4,100,60,100,40,4,gru
train,61,0.762499988079071,0.05592504143714905,5.0,4,100,60,100,40,4,gru
test,61,0.5,0.8571029901504517,5.0,4,100,60,100,40,4,gru
train,62,0.762499988079071,0.055937595665454865,5.0,4,100,60,100,40,4,gru
test,62,0.5,0.8753783106803894,5.0,4,100,60,100,40,4,gru
train,63,0.7749999761581421,0.05651046708226204,5.0,4,100,60,100,40,4,gru
test,63,0.5,0.8626810312271118,5.0,4,100,60,100,40,4,gru
train,64,0.737500011920929,0.05594385787844658,5.0,4,100,60,100,40,4,gru
test,64,0.550000011920929,0.8918131589889526,5.0,4,100,60,100,40,4,gru
train,65,0.737500011920929,0.056794922798871994,5.0,4,100,60,100,40,4,gru
test,65,0.550000011920929,0.8539581298828125,5.0,4,100,60,100,40,4,gru
train,66,0.762499988079071,0.05532463639974594,5.0,4,100,60,100,40,4,gru
test,66,0.550000011920929,0.8600912094116211,5.0,4,100,60,100,40,4,gru
train,67,0.7250000238418579,0.05619183927774429,5.0,4,100,60,100,40,4,gru
test,67,0.550000011920929,0.8792993426322937,5.0,4,100,60,100,40,4,gru
train,68,0.762499988079071,0.05521061271429062,5.0,4,100,60,100,40,4,gru
test,68,0.550000011920929,0.8787832260131836,5.0,4,100,60,100,40,4,gru
